edad;solteros;con pareja
18-20;2.414634146;2.266666667
21-23;2.6875;2.362068966
24-26;2.583333333;2.453125
27-29;2.379310345;2.303797468
30-32;2.739130435;2.341176471
33-35;2.416666667;2.448979592
36-38;3.727272727;2.411764706
39-41;2.580645161;2.71942446
42-44;2.933333333;2.66
45-47;3.315789474;2.592920354
48-50;2.75;2.683453237
51-53;2.851851852;2.782608696
54-56;2.918918919;2.758064516
57-59;2.958333333;2.719626168
60-62;3.292682927;3.135135135
63-65;3.488372093;3.10989011
66-68;3.351351351;3.460674157
69-71;3.511627907;3.388235294
72-74;3.217391304;3.409090909
75-77;3.666666667;3.516666667
78-80;3.428571429;3.307692308
81-83;3.357142857;4.142857143
84-86;3.1;4.5
87-89;3.333333333;4.333333333
90-92;4.333333333;5
