familia;social;afectiva
8.698113208;7.943396226;8.716981132
8.79245283;8.264150943;8.698113208
8.867924528;8.41509434;9.018867925
8.830188679;8.226415094;8.509433962
8.924528302;8.660377358;8.811320755
8.58490566;8.301886792;8.830188679
8.603773585;8.056603774;8.396226415
8.849056604;8.264150943;8.849056604
8.622641509;8.566037736;8.849056604
8.867924528;8.301886792;8.886792453
8.867924528;7.981132075;8.773584906
8.547169811;8.433962264;8.943396226
8.603773585;8.58490566;8.867924528
8.981132075;8.41509434;8.924528302
8.622641509;8.58490566;8.566037736
8.41509434;7.962264151;8.679245283
8.698113208;8.339622642;9.188679245
8.641509434;8.41509434;8.566037736
8.773584906;8.283018868;8.962264151
9.037735849;8.377358491;8.79245283
8.905660377;8.603773585;8.452830189
9.150943396;8.41509434;9.018867925
9.094339623;8.603773585;9.132075472
8.849056604;8.150943396;8.886792453
8.698113208;8.339622642;9
9.037735849;8.490566038;8.811320755
8.79245283;8.58490566;8.41509434
8.886792453;8.452830189;8.773584906
8.849056604;8.320754717;8.905660377
8.566037736;8.20754717;8.509433962
8.547169811;8.264150943;8.641509434
9.037735849;8.283018868;8.905660377
9;8.452830189;8.867924528
9.056603774;8.603773585;8.981132075
8.943396226;8.094339623;8.830188679
8.41509434;7.981132075;8.698113208
8.886792453;8.169811321;9.075471698
8.679245283;8.641509434;8.867924528
8.79245283;8.622641509;8.603773585
9;8.735849057;8.811320755
9;8.075471698;8.698113208
8.58490566;8.037735849;8.924528302
8.735849057;8.622641509;8.622641509
8.641509434;8.226415094;8.509433962
